station_id,station_name,department_id,altitude,latitude,longitude,city
7010001,ANNONAY,7,336,45.246167,4.6705,ANNONAY
7011002,ANTRAIGUES,7,428,44.719167,4.352167,VALLEES-D'ANTRAIGUES-ASPERJOC
7011004,ANTRAIGUES SA,7,600,44.712167,4.352167,VALLEES-D'ANTRAIGUES-ASPERJOC
7019005,AUBENAS SA,7,176,44.601667,4.409833,AUBENAS
7025001,BARNAS RAD,7,480,44.666,4.159833,BARNAS
7032002,BERZEME RAD,7,650,44.628333,4.566333,BERZEME
7033001,BESSAS,7,251,44.34,4.298667,BESSAS
7064001,CHEYLARD SA,7,418,44.914833,4.4375,LE CHEYLARD
7066001,CHOMERAC SA_RCE,7,216,44.6995,4.648333,ALISSAS
7068001,COLOMBIER JEUNE RAD,7,566,45.0155,4.671167,COLOMBIER-LE-JEUNE
7069001,COLOMBIER VIEUX SA,7,408,45.063667,4.698,COLOMBIER-LE-VIEUX
7075001,CROS GEORAND,7,1021,44.780167,4.099667,CROS-DE-GEORAND
7096001,GLUIRAS RAD,7,760,44.839333,4.524,GLUIRAS
7099001,GRAS,7,341,44.429,4.5655,GRAS
7101001,GROSPIERRES,7,127,44.411333,4.300833,GROSPIERRES
7101002,GROSPIERRES SA,7,107,44.4115,4.295833,GROSPIERRES
7105001,ISSANLAS,7,1215,44.773167,3.981667,ISSANLAS
7105003,ISSANLAS_SAPC,7,1264,44.7555,3.975333,ISSANLAS
7117001,LABLACHERE DROME,7,265,44.461333,4.234833,LABLACHERE
7117002,LABLACHERE,7,295,44.480833,4.208333,LABLACHERE
7128001,LALOUVESC,7,1090,45.117833,4.535,LALOUVESC
7131001,LANAS SYN,7,265,44.537167,4.368167,LANAS
7144001,LOUBARESSE,7,1220,44.599833,4.049333,LOUBARESSE
7153001,MAYRES,7,579,44.667167,4.113,MAYRES
7154005,MAZAN ABBAYE RAD,7,1240,44.733833,4.083833,MAZAN-L'ABBAYE
7159001,MIRABEL SA,7,275,44.5815,4.497333,MIRABEL
7161001,MONTPEZAT SA,7,602,44.715667,4.207,MONTPEZAT-SOUS-BAUZON
7168001,ORGNAC AVEN,7,230,44.288333,4.421667,ORGNAC-L'AVEN
7172002,PEAUGRES RAD,7,480,45.286167,4.705833,PEAUGRES
7185001,PREAUX SA,7,525,45.14,4.665,PREAUX
7187001,CROIX MILLET,7,779,44.606333,4.241333,PRUNET
7202002,SABLIERES OARA,7,540,44.533,4.0725,SABLIERES
7204008,ST-AGREVE RAD,7,1014,44.997833,4.368,SAINT-AGREVE
7228001,ST-DESIRAT SA,7,275,45.260333,4.783667,SAINT-DESIRAT
7232001,ST-ETIENNE LUGDARES,7,1022,44.651333,3.9485,SAINT-ETIENNE-DE-LUGDARES
7240001,ST-GEORGES BAIN,7,112,44.860333,4.8325,SAINT-GEORGES-LES-BAINS
7261001,ST-LAURENT PAPE,7,112,44.817833,4.746833,SAINT-LAURENT-DU-PAPE
7265001,ST-MARCEL ANNONAY,7,484,45.296167,4.641833,SAINT-MARCEL-LES-ANNONAY
7279001,ST-MONTAN,7,130,44.441833,4.636333,SAINT-MONTAN
7286002,ST-PIERREVILLE,7,560,44.814333,4.485,SAINT-PIERREVILLE
7294001,ST-SAUVEUR SA,7,149,44.296,4.26,SAINT-SAUVEUR-DE-CRUZIERES
7315004,LA SOUCHE,7,924,44.6285,4.123667,LA SOUCHE
7330004,VALLON SA,7,120,44.391833,4.403667,VALLON-PONT-D'ARC
7331001,VALS-LES-BAINS,7,250,44.656667,4.368333,VALS-LES-BAINS
7334004,LES VANS-SA,7,140,44.4155,4.150833,LES VANS
7338001,VERNOUX,7,561,44.8995,4.652333,VERNOUX-EN-VIVARAIS
7347001,VOCANCE,7,529,45.201167,4.554333,VOCANCE
8046001,BANOGNE-RECOUVRANCE,8,130,49.571667,4.129167,BANOGNE-RECOUVRANCE
8089003,BUZANCY_SAPC,8,199,49.427333,4.9645,BUZANCY
8092001,CAUROY,8,139,49.346833,4.465167,CAUROY
8105005,CHARLEVILLE-MEZ,8,145,49.782833,4.643167,TOURNES
8116001,LE CHESNE,8,168,49.511667,4.7675,BAIRON ET SES ENVIRONS
8145001,DOUZY,8,153,49.658,5.039833,DOUZY
8207001,HAM-SUR-MEUSE,8,109,50.116,4.7795,HAM-SUR-MEUSE
8239001,JUNIVILLE,8,90,49.397333,4.371667,JUNIVILLE
8244001,LAMETZ_SAPC,8,165,49.536667,4.689667,LAMETZ
8248002,LAUNOIS-SUR-VENCE_SAPC,8,218,49.671833,4.534667,LAUNOIS-SUR-VENCE
8254002,LIART_SAPC,8,240,49.7655,4.340333,LIART
8255001,LINAY,8,177,49.616833,5.216833,LINAY
8296002,MONTCHEUTIN_SAPC,8,142,49.287333,4.809667,MONTCHEUTIN
8353001,RANCENNES,8,162,50.118833,4.813167,RANCENNES
8367002,ROCROI,8,382,49.918667,4.53,ROCROI
8401001,SAULCES-CHAMPENOISES,8,147,49.423833,4.4925,SAULCES-CHAMPENOISES
8419001,SIGNY-L'ABBAYE,8,180,49.686,4.418833,SIGNY-L'ABBAYE
8420002,SIGNY-LE-PETIT_SAPC,8,309,49.9135,4.288167,SIGNY-LE-PETIT
9023002,ASCOU LAVAIL,9,1100,42.723833,1.895167,ASCOU
9024004,ASTON,9,1781,42.724167,1.691,ALBIES
9027001,AUGIREIN,9,655,42.930167,0.92,AUGIREIN
9042003,LA BASTIDE DE S,9,420,43.024333,1.3885,LA BASTIDE-DE-SEROU
9047001,BELESTA,9,490,42.903833,1.936667,BELESTA
9094001,CERIZOLS,9,374,43.126,1.063,CERIZOLS
9099001,COS,9,519,42.970167,1.5645,COS
9161003,LERAN,9,391,42.990333,1.919167,LERAN
9181003,LE MAS D AZIL,9,293,43.0735,1.357667,LE MAS-D'AZIL
9199002,MONTAUT,9,295,43.192167,1.6435,MONTAUT
9206001,MONTFERRIER,9,760,42.891833,1.781167,MONTFERRIER
9225005,PAMIERS VILLE,9,283,43.118833,1.607,PAMIERS
9250001,LES CASCADES,9,530,42.963667,1.748,ROQUEFORT-LES-CASCADES
9277001,ST-YBARS,9,330,43.2515,1.4215,SAINT-YBARS
9285400,PORT D'AULA-NIVOSE,9,2140,42.77,1.114333,SEIX
9289001,ST GIRONS,9,414,43.005333,1.106833,LORP-SENTARAILLE
9301001,SOULAN,9,638,42.914667,1.234333,SOULAN
9328001,VERDUN,9,550,42.791667,1.69,VERDUN
9334004,VICDESSOS,9,750,42.771667,1.488167,VAL-DE-SOS
10002001,AILLEVILLE_SAPC,10,195,48.254167,4.685667,AILLEVILLE
10021001,AVANT-LES-RAMERUPT,10,118,48.451333,4.283667,AVANT-LES-RAMERUPT
10030001,TROYES-BARBEREY,10,112,48.324667,4.02,BARBEREY-SAINT-SULPICE
10042001,BERULLE,10,146,48.179,3.663333,BERULLE
10057001,BOUY-SUR-ORVIN,10,102,48.439833,3.504833,FONTAINE-MACON
